index,title
0,Shingeki no Kyojin
1,Death Note
2,Fullmetal Alchemist: Brotherhood
3,One Punch Man
4,Kimetsu no Yaiba
5,Sword Art Online
6,Boku no Hero Academia
7,Hunter x Hunter (2011)
8,Naruto
9,Tokyo Ghoul
10,Shingeki no Kyojin Season 2
11,Jujutsu Kaisen
12,Steins;Gate
13,Naruto: Shippuuden
14,Boku no Hero Academia 2nd Season
15,Shingeki no Kyojin Season 3
16,No Game No Life
17,Shingeki no Kyojin Season 3 Part 2
18,Code Geass: Hangyaku no Lelouch
19,Re:Zero kara Hajimeru Isekai Seikatsu
20,Shigatsu wa Kimi no Uso
21,Boku no Hero Academia 3rd Season
22,Toradora!
23,Noragami
24,Mob Psycho 100
25,Boku dake ga Inai Machi
26,Akame ga Kill!
27,Shingeki no Kyojin: The Final Season
28,Nanatsu no Taizai
29,Angel Beats!
30,Ansatsu Kyoushitsu
31,Bleach
32,Haikyuu!!
33,Yakusoku no Neverland
34,Mirai Nikki (TV)
35,Kono Subarashii Sekai ni Shukufuku wo!
36,Sword Art Online II
37,Ao no Exorcist
38,Cowboy Bebop
39,Kiseijuu: Sei no Kakuritsu
40,Shinseiki Evangelion
41,Violet Evergarden
42,Code Geass: Hangyaku no Lelouch R2
43,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai
44,Dr. Stone
45,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen
46,Death Parade
47,Tokyo Ghoul √A
48,Boku no Hero Academia 4th Season
49,Black Clover
50,One Punch Man 2nd Season
51,Chainsaw Man
52,Fairy Tail
53,Kill la Kill
54,Spy x Family
55,JoJo no Kimyou na Bouken (TV)
56,Darling in the FranXX
57,Another
58,Vinland Saga
59,Soul Eater
60,Charlotte
61,Tengen Toppa Gurren Lagann
62,Tate no Yuusha no Nariagari
63,Shokugeki no Souma
64,Psycho-Pass
65,Overlord
66,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.
67,Mob Psycho 100 II
68,Kimetsu no Yaiba: Yuukaku-hen
69,Hataraku Maou-sama!
70,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
71,Kono Subarashii Sekai ni Shukufuku wo! 2
72,Tensei shitara Slime Datta Ken
73,Kakegurui
74,Elfen Lied
75,Highschool of the Dead
76,Fate/Zero
77,Horimiya
78,Fullmetal Alchemist
79,Noragami Aragoto
80,Ansatsu Kyoushitsu 2nd Season
81,Haikyuu!! Second Season
82,Yahari Ore no Seishun Love Comedy wa Machigatteiru.
83,Bungou Stray Dogs
84,Mushoku Tensei: Isekai Ittara Honki Dasu
85,Made in Abyss
86,High School DxD
87,Enen no Shouboutai
88,Shingeki no Kyojin: The Final Season Part 2
89,Clannad
90,Durarara!!
91,Bakemonogatari
92,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen
93,Hyouka
94,Chuunibyou demo Koi ga Shitai!
95,Owari no Seraph
96,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e
97,Mahou Shoujo Madoka★Magica
98,Tokyo Revengers
99,Dororo
100,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders
101,Samurai Champloo
102,Kaichou wa Maid-sama!
103,Boku no Hero Academia 5th Season
104,Kobayashi-san Chi no Maid Dragon
105,Sakura-sou no Pet na Kanojo
106,Dragon Ball Z
107,Deadman Wonderland
108,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou
109,Kuroko no Basket
110,Tokyo Ghoul:re
111,Monster
112,Jujutsu Kaisen 2nd Season
113,Guilty Crown
114,Clannad: After Story
115,Kuroshitsuji
116,Zankyou no Terror
117,Sono Bisque Doll wa Koi wo Suru
118,Sousou no Frieren
119,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season
120,Nisekoi
121,Kyoukai no Kanata
122,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai
123,Saiki Kusuo no Ψ-nan
124,Goblin Slayer
125,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen
126,Ouran Koukou Host Club
127,Shokugeki no Souma: Ni no Sara
128,Nanatsu no Taizai: Imashime no Fukkatsu
129,Fate/Zero 2nd Season
130,Log Horizon
131,Dr. Stone: Stone Wars
132,Fate/stay night: Unlimited Blade Works
133,Tonari no Kaibutsu-kun
134,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku
135,Gintama
136,Mahouka Koukou no Rettousei
137,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze
138,Sword Art Online: Alicization
139,Dragon Ball
140,ReLIFE
141,Golden Time
142,K-On!
143,Overlord II
144,Magi: The Labyrinth of Magic
145,Date A Live
146,Black Lagoon
147,Spy x Family Part 2
148,Prison School
149,Tensei shitara Slime Datta Ken 2nd Season
150,Wotaku ni Koi wa Muzukashii
151,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2
152,"Kanojo, Okarishimasu"
153,Kaguya-sama wa Kokurasetai: Ultra Romantic
154,Fairy Tail (2014)
155,Kimetsu no Yaiba: Katanakaji no Sato-hen
156,Kami no Tou
157,Ore dake Level Up na Ken
158,Kimi ni Todoke
159,5-toubun no Hanayome
160,Shokugeki no Souma: San no Sara
161,Haikyuu!! To the Top
162,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2
163,Rakudai Kishi no Cavalry
164,Youjo Senki
165,Plastic Memories
166,Mahoutsukai no Yome
167,Ao Haru Ride
168,Darker than Black: Kuro no Keiyakusha
169,[Oshi no Ko]
170,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation
171,Overlord III
172,Fate/stay night
173,Gekkan Shoujo Nozaki-kun
174,Yakusoku no Neverland 2nd Season
175,"Komi-san wa, Comyushou desu."
176,The God of High School
177,Suzumiya Haruhi no Yuuutsu
178,Nichijou
179,Fumetsu no Anata e
180,Tokyo Ghoul:re 2nd Season
181,Black Bullet
182,High School DxD New
183,Masamune-kun no Revenge
184,Baccano!
185,Banana Fish
186,Beastars
187,Yuri!!! on Ice
188,Bungou Stray Dogs 2nd Season
189,Steins;Gate 0
190,Kekkai Sensen
191,Kimetsu no Yaiba: Mugen Ressha-hen
192,86
193,Fruits Basket 1st Season
194,Akatsuki no Yona
195,Boruto: Naruto Next Generations
196,Kuroko no Basket 2nd Season
197,Fate/stay night: Unlimited Blade Works 2nd Season
198,Haikyuu!! To the Top Part 2
199,Great Teacher Onizuka
200,Btooom!
201,Dragon Ball Super
202,Trinity Seven
203,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II
204,Mushishi
205,Magi: The Kingdom of Magic
206,Enen no Shouboutai: Ni no Shou
207,Orange
208,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou"
209,Kokoro Connect
210,Grand Blue
211,Tensei shitara Slime Datta Ken 2nd Season Part 2
212,Danshi Koukousei no Nichijou
213,Koutetsujou no Kabaneri
214,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri"
215,Serial Experiments Lain
216,"Ijiranaide, Nagatoro-san"
217,Jigokuraku
218,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai
219,Ookami to Koushinryou
220,Zero no Tsukaima
221,Dandadan
222,Toaru Majutsu no Index
223,Blue Lock
224,InuYasha
225,Higurashi no Naku Koro ni
226,Tate no Yuusha no Nariagari Season 2
227,Boku wa Tomodachi ga Sukunai
228,Owari no Seraph: Nagoya Kessen-hen
229,High School DxD BorN
230,Free!
231,Sword Art Online: Alicization - War of Underworld
232,Kakegurui××
233,Sakamoto desu ga?
234,Wonder Egg Priority
235,Mob Psycho 100 III
236,Kuroko no Basket 3rd Season
237,Trigun
238,Tonikaku Kawaii
239,Kage no Jitsuryokusha ni Naritakute!
240,Domestic na Kanojo
241,Shinsekai yori
242,Ao no Exorcist: Kyoto Fujouou-hen
243,NHK ni Youkoso!
244,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan
245,K
246,Rokudenashi Majutsu Koushi to Akashic Records
247,Arifureta Shokugyou de Sekai Saikyou
248,Vinland Saga Season 2
249,Monster Musume no Iru Nichijou
250,Hai to Gensou no Grimgar
251,5-toubun no Hanayome ∬
252,Kiznaiver
253,Chuunibyou demo Koi ga Shitai! Ren
254,Isekai Maou to Shoukan Shoujo no Dorei Majutsu
255,Nanatsu no Taizai: Kamigami no Gekirin
256,91 Days
257,Hellsing
258,Tsurezure Children
259,Boku no Hero Academia 6th Season
260,Nisemonogatari
261,Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen
262,Nanatsu no Taizai: Seisen no Shirushi
263,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season
264,Eromanga-sensei
265,Nana
266,Mashle
267,Kenpuu Denki Berserk
268,Accel World
269,Yuu☆Yuu☆Hakusho
270,K-On!!
271,Bocchi the Rock!
272,Kusuriya no Hitorigoto
273,Nisekoi:
274,Ousama Ranking
275,Great Pretender
276,Yofukashi no Uta
277,Himouto! Umaru-chan
278,Akagami no Shirayuki-hime
279,Kuzu no Honkai
280,Satsuriku no Tenshi
281,D.Gray-man
282,Ore Monogatari!!
283,3-gatsu no Lion
284,Shinmai Maou no Testament
285,Rosario to Vampire
286,Blood Lad
287,Ore no Imouto ga Konnani Kawaii Wake ga Nai
288,Claymore
289,Mushoku Tensei II: Isekai Ittara Honki Dasu
290,Kamisama Hajimemashita
291,Monogatari Series: Second Season
292,Saenai Heroine no Sodatekata
293,Barakamon
294,Kimetsu no Yaiba: Hashira Geiko-hen
295,Saiki Kusuo no Ψ-nan 2
296,School Days
297,Ergo Proxy
298,Little Witch Academia (TV)
299,Gakusen Toshi Asterisk
300,Blend S
301,Bungou Stray Dogs 3rd Season
302,Amagi Brilliant Park
303,Inuyashiki
304,Gamers!
305,Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!
306,Hataraku Saibou
307,Suki tte Ii na yo.
308,Psycho-Pass 2
309,Lucky☆Star
310,Ore dake Level Up na Ken Season 2: Arise from the Shadow
311,Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru
312,Gintama°
313,Date A Live II
314,To LOVE-Ru
315,Sword Art Online: Alicization - War of Underworld 2nd Season
316,Jibaku Shounen Hanako-kun
317,Hajime no Ippo
318,Pokemon
319,IS: Infinite Stratos
320,Kaijuu 8-gou
321,Dragon Ball GT
322,Rokka no Yuusha
323,Strike the Blood
324,Bleach: Sennen Kessen-hen
325,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III
326,Sword Art Online Alternative: Gun Gale Online
327,Baka to Test to Shoukanjuu
328,Hige wo Soru. Soshite Joshikousei wo Hirou.
329,Shokugeki no Souma: Shin no Sara
330,Kami nomi zo Shiru Sekai
331,Sankarea
332,Kore wa Zombie desu ka?
333,Bakuman.
334,Grisaia no Kajitsu
335,Zom 100: Zombie ni Naru made ni Shitai 100 no Koto
336,Summertime Render
337,Kenja no Mago
